Year,Month, CerroPrieto.EvaporationRate,Riego.FractionalReturnFlow,CerroPrieto.Release,LaBoca.Release,LaBoca.Evaporation,PozosAreaMetropolitana.Percolation,AreaMetropolitanadeMonterrey.FractionalReturnFlow,AreaMetropolitanadeMonterrey.AvailableSupplementalWater, DR031.FractionalReturnFlow,DR031.Diversion,ElCuchillo.EvaporationRate,AcueductoRegionalChinaAldama.FractionalReturnFlow,AcueductoRegionalChinaAldama.Diversion,DR026.Diversion,DR026.FractionalReturnFlow
4,11,0.07237,1,0.75,0,0.339,2.01369863,0.71,0.26,1,2,0.25613,1,0.339,35,1
4,12,0.0569,1,0.75,0,0.339,2.080821918,0.71,0.26,1,2,0.37624,1,0.339,35,1
5,1,0.02537,1,0.75,0,0.311,2.080821918,0.71,0.26,1,2,0.3,1,0.339,35,1
5,2,0.06716,1,0.75,0,0.311,1.879452055,0.71,0.26,1,2,0.23315,1,0.339,35,1
5,3,0.1103,1,0.75,0,0.301,2.080821918,0.71,0.26,1,2,0.08211,1,0.339,35,1
5,4,0.06385,1,0.75,0,0.301,2.01369863,0.71,0.26,1,2,0.08979,1,0.339,35,1
5,5,0.05394,1,0.75,0,0.284,2.080821918,0.71,0.26,1,2,0.0616,1,0.339,35,1
5,6,0.15869,1,0.75,0,0.316,2.01369863,0.71,0.26,1,2,0.07189,1,0.339,35,1
5,7,0.039,1,0.75,0,0.317,2.080821918,0.71,0.26,1,2,0.08061,1,0.339,35,1
5,8,0.03598,1,0.75,0,0.377,2.080821918,0.71,0.26,1,2,0.1127,1,0.339,35,1
5,9,0.10987,1,0.75,0,0.377,2.01369863,0.71,0.26,1,2,0.18499,1,0.339,35,1
5,10,0.10878,1,0.75,0,0.542,2.080821918,0.71,0.26,1,2,0.19343,1,0.339,35,1
5,11,0.06537,1,0.75,0,0.628,2.01369863,0.71,0.26,1,2,0.18665,1,0.339,35,1
5,12,0.05438,1,0.75,0,0.628,2.080821918,0.71,0.26,1,2,0.31189,1,0.339,35,1
6,1,0.086,1,0.75,0,0.542,2.075136612,0.71,0.26,1,2,0.21374,1,0.339,35,1
6,2,0.16672,1,0.75,0,0.542,1.941256831,0.71,0.26,1,2,-0.0666,1,0.339,35,1
6,3,0.12765,1,0.75,0,0.542,2.075136612,0.71,0.26,1,2,0.16435,1,0.339,35,1
6,4,0.23218,1,0.75,0,0.542,2.008196721,0.71,0.26,1,2,0.04075,1,0.339,35,1
6,5,0.17101,1,0.75,0,0.498,2.075136612,0.71,0.26,1,2,0.08229,1,0.339,35,1
6,6,0.19032,1,0.75,0,0.498,2.008196721,0.71,0.26,1,2,0.11317,1,0.339,35,1
6,7,0.13702,1,0.75,0,0.498,2.075136612,0.71,0.26,1,2,0.1413,1,0.339,35,1
6,8,0.1101,1,0.75,0,0.4765,2.075136612,0.71,0.26,1,2,0.20589,1,0.339,35,1
